k,beta,prior,avg_reconstruction_f1,avg_bits_per_edge,avg_latent_density,avg_num_latent_edges,avg_edge_compression_ratio,frac_jets_complete_a_z,min_num_latent_edges,max_num_latent_edges,loss_share_recon,loss_share_kl,loss_share_entropy,loss_share_link,raw_kl_per_node,posterior_sigma_mean,logreg_accuracy_mean,logreg_accuracy_std,logreg_auc_mean,mlp_accuracy_mean,mlp_accuracy_std,mlp_auc_mean,train_time_s
3,0.001,isotropic,0.7464757945903778,0.9452171150387508,0.75,6.0,0.030182484582719656,1.0,6.0,6.0,0.1776996170044465,0.0027236748584563743,0.011803179018743072,0.8077735291183541,12.642481527709961,0.15771356636881828,0.71392,0.004868839697504954,0.778098441971709,0.71296,0.0032555183919001393,0.7837843100581348,1662.552191734314
2,0.1,isotropic,0.7388185552786743,0.9701324651185003,0.625,5.0,0.025152070485599715,0.0,5.0,5.0,0.18794812834700886,0.0425825378545002,0.011110938335387257,0.7583583954631037,2.174592148590088,0.574807034444809,0.6708800000000001,0.006331634859970994,0.7103271577577306,0.6846399999999999,0.009525040682327828,0.7428154168193266,1671.183809041977
2,0.1,graph_mrf,0.7391225145176944,0.9734353280614898,0.625,5.0,0.025152070485599715,0.0,5.0,5.0,0.16692173978526956,0.12055815881162417,0.01013319823554608,0.7023869031675603,6.641829531860352,0.506663496875763,0.6699200000000001,0.0050999607841629374,0.7163379033105219,0.67904,0.00969816477484269,0.7391367175590121,1679.0353729724884
1,0.01,isotropic,0.742073516531353,0.9684240283982681,0.3192,2.5536,0.01302975939127858,0.0,2.0,3.0,0.18413133415539548,0.013640746651676425,0.012046984301303399,0.7901809348916247,6.448880958175659,0.32456936477422715,0.69536,0.006507103810452065,0.7613539294032042,0.69856,0.013589643115255066,0.7508046353967834,1687.1168735027313
1,0.1,isotropic,0.7304751155640349,0.9959157148605787,0.3069,2.4552,0.012843060359661882,0.0,2.0,3.0,0.18616902868831547,0.07300112870530669,0.012794866843127528,0.7280349757632503,4.156862214279175,0.41075993409156797,0.6491200000000001,0.009171782814698584,0.7045972211190851,0.67232,0.019110457869972678,0.7314139599949783,1710.784559249878
1,0.1,graph_mrf,0.7304327746358897,0.9956795588146877,0.3139,2.5112,0.013077863976527639,0.0,2.0,3.0,0.17695171792563877,0.10751321764726686,0.012317957636165503,0.7032171067909289,6.3370758918762204,0.3906464718580246,0.65456,0.006347787015960757,0.7055436701417623,0.6700800000000001,0.01589243845355393,0.7332146215356865,1719.5184144973755
1,1.0,graph_mrf,0.7260315716340089,0.9877648953741789,0.337,2.696,0.013678249287567761,0.0,2.0,3.0,0.12327247449067069,0.42089168973088703,0.007916147454685833,0.4479196883237565,3.8604231765747072,0.69119896068573,0.67824,0.0084875438143199,0.7300155520995335,0.6992,0.00508487954626262,0.7609542378830698,1728.143881559372
3,0.01,graph_mrf,0.7506838124346378,0.9296143960389794,0.75,6.0,0.030182484582719656,1.0,6.0,6.0,0.17416367738433242,0.02400675449972743,0.012690643015724873,0.7891389251002152,11.432819206237793,0.29804019293785095,0.6918399999999999,0.003520000000000017,0.7530644297606207,0.7048,0.005611416933360058,0.7706272850953496,1788.6866714954376
1,0.01,graph_mrf,0.7408393345532,0.9694782341100374,0.3174,2.5392,0.012969184056767662,0.0,2.0,3.0,0.18335959664744209,0.017815852528828384,0.01198412238354768,0.7868404284401819,8.46063794670105,0.320265411400795,0.6998399999999999,0.004675724542784792,0.7609158060061337,0.6952,0.009666436778875687,0.7504777082303146,1788.4534878730774
2,0.01,graph_mrf,0.7567000157034106,0.9380613915879605,0.6248,4.9984,0.025143989677518904,0.0,4.0,5.0,0.1790332414154309,0.021716154322948492,0.01190593094939084,0.7873446733122297,10.15736847229004,0.33129465334415437,0.7107199999999999,0.0019332873557751078,0.7752621694538318,0.7028800000000001,0.008104912090824949,0.7652145395476825,1810.256855726242
3,0.001,graph_mrf,0.7464874163919488,0.9427797621421622,0.75,6.0,0.030182484582719656,1.0,6.0,6.0,0.17757257198455279,0.0034566682332263254,0.011776850507857275,0.8071939092743635,16.030902734375,0.17652482247650622,0.70688,0.002752744085453637,0.7730736021685827,0.70704,0.005340262165849169,0.7772893228559498,2254.7774291038513
3,1.0,graph_mrf,0.7223780499589998,0.9761104757725468,0.75,6.0,0.030182484582719656,1.0,6.0,6.0,0.08216858710155663,0.5850025239144799,0.0055323432942878115,0.3272965456896756,7.269931238937378,0.5833182057857513,0.69216,0.002285257097133689,0.7277183507088119,0.7076800000000001,0.00620915453181832,0.7669137409332796,2309.964938402176
3,1.0,isotropic,0.682232090923502,1.0004808229240085,0.75,6.0,0.030182484582719656,1.0,6.0,6.0,0.21538480166307641,0.016626250935283842,0.01742336317799378,0.750565584223646,0.10942183668017387,0.8932925197124482,0.57616,0.004915933278635918,0.5994363324716053,0.5862400000000001,0.01269355742099118,0.6123853128739102,2462.402750968933
3,0.1,graph_mrf,0.7382565298348166,0.9613473874563689,0.75,6.0,0.030182484582719656,1.0,6.0,6.0,0.1628594793587459,0.14155509063667993,0.009709731910633351,0.6858756980939409,8.012432563781738,0.4891454797029495,0.66496,0.0029241067011995026,0.7019689931616879,0.6892799999999999,0.008445211661053848,0.754887125577439,2544.5669944286346
